date,actual,mean_baseline,rf_sensors_only,repeat_last_hour,rf_sensors_plus_last_hour
2017-08-08 19:00:00,1.26,2.3356,2.1454,1.27,1.8018
2017-08-08 20:00:00,1.34,2.3356,2.2435,1.26,1.7252
2017-08-08 21:00:00,1.32,2.3356,2.3392,1.34,1.7742
2017-08-08 22:00:00,1.21,2.3356,2.3071,1.32,1.8432
2017-08-08 23:00:00,1.71,2.3356,2.3189,1.21,1.5776
2017-08-09 00:00:00,2.06,2.3356,2.3023,1.71,2.0021
2017-08-09 01:00:00,3.12,2.3356,2.2776,2.06,2.2239
2017-08-09 02:00:00,2.17,2.3356,2.3219,3.12,2.6764
2017-08-09 03:00:00,2.97,2.3356,2.349,2.17,2.0984
2017-08-09 04:00:00,3.36,2.3356,2.9973,2.97,2.5669
2017-08-09 05:00:00,2.54,2.3356,2.5531,3.36,3.3259
2017-08-09 06:00:00,1.97,2.3356,3.036,2.54,2.5267
2017-08-09 07:00:00,2.6419,2.3356,3.1678,1.97,2.2579
2017-08-09 08:00:00,3.9781,2.3356,3.1438,2.6419,2.5747
2017-08-09 09:00:00,4.65,2.3356,2.4315,3.9781,3.5783
2017-08-09 10:00:00,3.58,2.3356,2.5518,4.65,4.3675
2017-08-09 11:00:00,2.51,2.3356,2.6771,3.58,3.6481
2017-08-09 12:00:00,1.86,2.3356,3.2068,2.51,2.3518
2017-08-09 13:00:00,2.32,2.3356,3.0576,1.86,1.9798
2017-08-09 14:00:00,2.21,2.3356,2.5503,2.32,2.3539
2017-08-09 15:00:00,2.16,2.3356,2.9018,2.21,2.3439
2017-08-09 16:00:00,2.6,2.3356,2.3742,2.16,2.1749
2017-08-09 17:00:00,2.41,2.3356,2.4452,2.6,2.5892
2017-08-09 18:00:00,2.43,2.3356,2.4815,2.41,2.4829
2017-08-09 19:00:00,1.59,2.3356,2.2747,2.43,2.316
2017-08-09 20:00:00,1.54,2.3356,2.2269,1.59,1.8137
2017-08-09 21:00:00,1.49,2.3356,2.4931,1.54,1.9907
2017-08-09 22:00:00,1.56,2.3356,2.6698,1.49,2.017
2017-08-09 23:00:00,1.39,2.3356,2.5641,1.56,1.9947
2017-08-10 00:00:00,1.41,2.3356,2.4127,1.39,1.8852
2017-08-10 01:00:00,1.56,2.3356,2.3515,1.41,1.9713
2017-08-10 02:00:00,2.58,2.3356,2.9287,1.56,2.0957
2017-08-10 03:00:00,2.58,2.3356,2.6917,2.58,2.636
2017-08-10 04:00:00,2.58,2.3356,2.6391,2.58,2.6628
2017-08-10 05:00:00,3.16,2.3356,2.6137,2.58,2.5874
2017-08-10 06:00:00,2.47,2.3356,3.2549,3.16,2.7566
2017-08-10 07:00:00,3.04,2.3356,3.2078,2.47,2.4359
2017-08-10 08:00:00,3.1,2.3356,2.6082,3.04,2.5534
2017-08-10 09:00:00,5.52,2.3356,2.7226,3.1,2.6868
2017-08-10 10:00:00,4.255,2.3356,2.7381,5.52,4.3985
2017-08-10 11:00:00,2.99,2.3356,2.7205,4.255,3.657
2017-08-10 12:00:00,4.14,2.3356,2.9057,2.99,2.6086
2017-08-10 13:00:00,3.8,2.3356,2.6626,4.14,3.6989
2017-08-10 14:00:00,2.62,2.3356,2.5404,3.8,3.6229
2017-08-10 15:00:00,3.03,2.3356,2.5204,2.62,2.5501
2017-08-10 16:00:00,2.18,2.3356,3.3148,3.03,2.6772
2017-08-10 17:00:00,1.72,2.3356,3.0274,2.18,2.2354
2017-08-10 18:00:00,1.66,2.3356,2.3912,1.72,1.9193
2017-08-10 19:00:00,1.41,2.3356,2.3651,1.66,1.9461
2017-08-10 20:00:00,1.47,2.3356,3.1833,1.41,2.1226
2017-08-10 21:00:00,1.57,2.3356,2.9108,1.47,2.0347
2017-08-10 22:00:00,1.56,2.3356,2.5541,1.57,1.9863
2017-08-10 23:00:00,1.33,2.3356,2.7269,1.56,2.0079
2017-08-11 00:00:00,1.05,2.3356,2.3632,1.33,2.0474
2017-08-11 01:00:00,2.87,2.3356,2.3744,1.05,1.6133
2017-08-11 02:00:00,1.71,2.3356,2.5288,2.87,2.4858
2017-08-11 03:00:00,1.22,2.3356,2.5163,1.71,1.9795
2017-08-11 04:00:00,2.29,2.3356,2.4795,1.22,1.7633
2017-08-11 05:00:00,1.27,2.3356,2.296,2.29,2.2676
2017-08-11 06:00:00,1.44,2.3356,2.3485,1.27,1.9468
2017-08-11 07:00:00,1.22,2.3356,2.1817,1.44,1.9566
2017-08-11 08:00:00,2.0,2.3356,2.4148,1.22,1.7785
2017-08-11 09:00:00,2.05,2.3356,2.4423,2.0,2.1147
2017-08-11 10:00:00,1.82,2.3356,2.3603,2.05,2.0946
2017-08-11 11:00:00,1.66,2.3356,2.4882,1.82,2.0854
2017-08-11 12:00:00,1.68,2.3356,2.4314,1.66,2.0444
2017-08-11 13:00:00,1.87,2.3356,2.5899,1.68,2.085
2017-08-11 14:00:00,1.84,2.3356,3.2391,1.87,2.3312
2017-08-11 15:00:00,1.9,2.3356,2.9138,1.84,2.2627
2017-08-11 16:00:00,2.02,2.3356,2.3522,1.9,2.2054
2017-08-11 17:00:00,1.15,2.3356,2.389,2.02,2.2676
2017-08-11 18:00:00,1.3,2.3356,2.6377,1.15,1.6316
2017-08-11 19:00:00,1.01,2.3356,2.3245,1.3,2.0202
2017-08-11 20:00:00,1.35,2.3356,2.4433,1.01,1.5702
2017-08-11 21:00:00,1.29,2.3356,2.3306,1.35,2.013
2017-08-11 22:00:00,1.97,2.3356,2.4038,1.29,2.0361
2017-08-11 23:00:00,1.07,2.3356,2.5966,1.97,2.435
2017-08-12 00:00:00,1.11,2.3356,2.3462,1.07,1.689
2017-08-12 01:00:00,1.36,2.3356,2.3761,1.11,1.6825
2017-08-12 02:00:00,1.14,2.3356,2.3186,1.36,2.0287
2017-08-12 03:00:00,1.03,2.3356,2.3954,1.14,1.6418
2017-08-12 04:00:00,1.02,2.3356,2.3207,1.03,1.6077
2017-08-12 05:00:00,1.18,2.3356,2.3593,1.02,1.5699
2017-08-12 06:00:00,1.25,2.3356,2.3547,1.18,1.6617
2017-08-12 07:00:00,1.2,2.3356,2.5838,1.25,1.9801
2017-08-12 08:00:00,1.33,2.3356,2.4778,1.2,1.7144
2017-08-12 09:00:00,1.29,2.3356,2.6362,1.33,2.1348
2017-08-12 10:00:00,1.51,2.3356,2.1708,1.29,1.9546
2017-08-12 11:00:00,1.25,2.3356,2.3555,1.51,1.9859
2017-08-12 12:00:00,1.42,2.3356,2.2788,1.25,2.0115
2017-08-12 13:00:00,2.29,2.3356,2.2825,1.42,1.9849
2017-08-12 14:00:00,1.92,2.3356,2.1985,2.29,2.3432
2017-08-12 15:00:00,1.31,2.3356,2.3874,1.92,2.3726
2017-08-12 16:00:00,1.25,2.3356,2.7449,1.31,1.9998
2017-08-12 17:00:00,0.74,2.3356,2.1531,1.25,1.7665
2017-08-12 18:00:00,0.6,2.3356,2.2362,0.74,1.5113
2017-08-12 19:00:00,0.75,2.3356,2.2557,0.6,1.4078
2017-08-12 20:00:00,1.15,2.3356,2.1915,0.75,1.3258
2017-08-12 21:00:00,1.45,2.3356,2.336,1.15,1.607
2017-08-12 22:00:00,1.59,2.3356,2.1769,1.45,1.8074
2017-08-12 23:00:00,1.44,2.3356,2.2147,1.59,1.8648
2017-08-13 00:00:00,1.43,2.3356,2.1213,1.44,1.743
2017-08-13 01:00:00,1.17,2.3356,2.2514,1.43,1.7815
2017-08-13 02:00:00,1.16,2.3356,2.4048,1.17,1.4682
2017-08-13 03:00:00,1.3,2.3356,2.2997,1.16,1.4897
2017-08-13 04:00:00,1.88,2.3356,2.1764,1.3,1.7866
2017-08-13 05:00:00,1.69,2.3356,2.2271,1.88,1.9447
2017-08-13 06:00:00,2.82,2.3356,2.2552,1.69,1.8606
2017-08-13 07:00:00,2.44,2.3356,2.2231,2.82,2.4918
2017-08-13 08:00:00,2.95,2.3356,2.2312,2.44,2.2063
2017-08-13 09:00:00,2.95,2.3356,2.2707,2.95,2.7043
2017-08-13 10:00:00,2.85,2.3356,2.134,2.95,2.5198
2017-08-13 11:00:00,2.59,2.3356,2.2081,2.85,2.7492
2017-08-13 12:00:00,2.47,2.3356,2.307,2.59,2.6026
2017-08-13 13:00:00,2.49,2.3356,2.3256,2.47,2.2459
2017-08-13 14:00:00,2.64,2.3356,2.2051,2.49,2.3904
2017-08-13 15:00:00,2.72,2.3356,2.3529,2.64,2.7452
2017-08-13 16:00:00,2.65,2.3356,2.214,2.72,2.5434
2017-08-13 17:00:00,1.79,2.3356,2.349,2.65,2.5357
2017-08-13 18:00:00,1.69,2.3356,2.1348,1.79,1.833
2017-08-13 19:00:00,1.94,2.3356,2.5529,1.69,1.7855
2017-08-13 20:00:00,1.7,2.3356,2.4277,1.94,2.0539
2017-08-13 21:00:00,2.04,2.3356,2.2506,1.7,1.8191
2017-08-13 22:00:00,1.41,2.3356,2.1629,2.04,1.9862
2017-08-13 23:00:00,1.61,2.3356,2.1101,1.41,1.6619
2017-08-14 00:00:00,1.39,2.3356,2.2523,1.61,1.6815
2017-08-14 01:00:00,1.28,2.3356,2.2643,1.39,1.6046
2017-08-14 02:00:00,1.21,2.3356,2.1465,1.28,1.6675
2017-08-14 03:00:00,1.25,2.3356,2.1412,1.21,1.3573
2017-08-14 04:00:00,1.08,2.3356,2.2616,1.25,1.637
2017-08-14 05:00:00,1.11,2.3356,2.2291,1.08,1.3279
2017-08-14 06:00:00,1.07,2.3356,2.21,1.11,1.2931
2017-08-14 07:00:00,1.07,2.3356,2.1407,1.07,1.2872
2017-08-14 08:00:00,1.15,2.3356,2.3201,1.07,1.3071
2017-08-14 09:00:00,1.52,2.3356,2.2969,1.15,1.3163
2017-08-14 10:00:00,2.38,2.3356,2.2214,1.52,1.7084
2017-08-14 11:00:00,1.54,2.3356,2.2929,2.38,2.1683
2017-08-14 12:00:00,1.35,2.3356,2.3818,1.54,1.6694
2017-08-14 13:00:00,1.48,2.3356,2.2519,1.35,1.6742
2017-08-14 14:00:00,1.42,2.3356,2.258,1.48,1.6836
2017-08-14 15:00:00,1.57,2.3356,2.2627,1.42,1.5983
2017-08-14 16:00:00,1.86,2.3356,2.4073,1.57,1.9831
2017-08-14 17:00:00,2.61,2.3356,2.5096,1.86,2.0444
2017-08-14 18:00:00,2.64,2.3356,2.3015,2.61,2.6261
2017-08-14 19:00:00,2.28,2.3356,2.5147,2.64,2.4496
2017-08-14 20:00:00,2.21,2.3356,2.3003,2.28,2.0217
2017-08-14 21:00:00,2.21,2.3356,2.5306,2.21,2.19
2017-08-14 22:00:00,2.21,2.3356,2.4172,2.21,2.1442
2017-08-14 23:00:00,2.21,2.3356,2.5645,2.21,2.1985
2017-08-15 00:00:00,2.21,2.3356,2.4613,2.21,2.1975
2017-08-15 01:00:00,2.21,2.3356,2.0781,2.21,2.042
2017-08-15 02:00:00,2.21,2.3356,2.0931,2.21,2.103
2017-08-15 03:00:00,2.21,2.3356,2.1406,2.21,2.0933
2017-08-15 04:00:00,2.21,2.3356,2.115,2.21,2.0645
2017-08-15 05:00:00,2.21,2.3356,2.101,2.21,2.052
2017-08-15 06:00:00,2.21,2.3356,2.0902,2.21,2.099
2017-08-15 07:00:00,2.21,2.3356,2.1715,2.21,2.1309
2017-08-15 08:00:00,2.21,2.3356,2.4084,2.21,2.053
2017-08-15 09:00:00,1.71,2.3356,2.1509,2.21,2.156
2017-08-15 10:00:00,1.42,2.3356,2.4751,1.71,2.0933
2017-08-15 11:00:00,1.47,2.3356,2.6714,1.42,1.9262
2017-08-15 12:00:00,1.66,2.3356,2.1378,1.47,1.8376
2017-08-15 13:00:00,1.59,2.3356,2.1766,1.66,1.8787
2017-08-15 14:00:00,1.68,2.3356,2.1885,1.59,1.9251
2017-08-15 15:00:00,1.8,2.3356,2.0261,1.68,2.0154
2017-08-15 16:00:00,2.56,2.3356,2.0633,1.8,1.9517
2017-08-15 17:00:00,1.96,2.3356,2.275,2.56,2.3831
2017-08-15 18:00:00,1.72,2.3356,2.1726,1.96,2.1177
2017-08-15 19:00:00,2.47,2.3356,2.1971,1.72,1.8642
2017-08-15 20:00:00,2.28,2.3356,2.2504,2.47,2.1689
2017-08-15 21:00:00,2.74,2.3356,2.1603,2.28,2.1061
2017-08-15 22:00:00,1.46,2.3356,2.687,2.74,2.4544
2017-08-15 23:00:00,1.41,2.3356,2.0202,1.46,1.784
2017-08-16 00:00:00,1.59,2.3356,2.1565,1.41,1.8851
2017-08-16 01:00:00,3.74,2.3356,2.3726,1.59,1.9781
2017-08-16 02:00:00,1.33,2.3356,2.0118,3.74,3.1925
2017-08-16 03:00:00,2.06,2.3356,2.5998,1.33,2.1535
2017-08-16 04:00:00,2.19,2.3356,2.5016,2.06,1.9988
2017-08-16 05:00:00,3.37,2.3356,2.3259,2.19,2.0443
2017-08-16 06:00:00,1.55,2.3356,2.6311,3.37,3.2653
2017-08-16 07:00:00,1.57,2.3356,2.5289,1.55,1.9828
2017-08-16 08:00:00,1.49,2.3356,2.3381,1.57,1.9814
2017-08-16 09:00:00,1.35,2.3356,2.4175,1.49,1.9553
2017-08-16 10:00:00,1.16,2.3356,2.6478,1.35,1.8965
2017-08-16 11:00:00,1.24,2.3356,2.0909,1.16,1.7751
2017-08-16 12:00:00,1.17,2.3356,2.3182,1.24,1.8516
2017-08-16 13:00:00,1.49,2.3356,2.2887,1.17,1.724
2017-08-16 14:00:00,1.37,2.3356,2.3135,1.49,2.0364
2017-08-16 15:00:00,1.14,2.3356,2.184,1.37,1.957
2017-08-16 16:00:00,1.72,2.3356,2.2006,1.14,1.7006
2017-08-16 17:00:00,1.35,2.3356,2.0295,1.72,1.6953
2017-08-16 18:00:00,1.68,2.3356,2.345,1.35,1.4753
2017-08-16 19:00:00,2.06,2.3356,2.0486,1.68,1.6494
2017-08-16 20:00:00,1.51,2.3356,1.672,2.06,1.8921
2017-08-16 21:00:00,1.9,2.3356,1.7579,1.51,1.6611
2017-08-16 22:00:00,2.1,2.3356,1.8501,1.9,2.004
2017-08-16 23:00:00,1.13,2.3356,1.7386,2.1,1.9463
2017-08-17 00:00:00,1.13,2.3356,1.7614,1.13,1.3113
2017-08-17 01:00:00,1.26,2.3356,1.661,1.13,1.2613
2017-08-17 02:00:00,1.19,2.3356,1.904,1.26,1.4469
2017-08-17 03:00:00,1.19,2.3356,1.8626,1.19,1.5323
2017-08-17 04:00:00,1.19,2.3356,1.5446,1.19,1.3788
2017-08-17 05:00:00,1.19,2.3356,1.5826,1.19,1.3252
2017-08-17 06:00:00,1.19,2.3356,1.6225,1.19,1.3554
2017-08-17 07:00:00,1.19,2.3356,1.7026,1.19,1.3611
2017-08-17 08:00:00,1.19,2.3356,2.6146,1.19,1.5836
2017-08-17 09:00:00,1.19,2.3356,3.1819,1.19,1.7198
2017-08-17 10:00:00,1.19,2.3356,2.8706,1.19,1.7739
2017-08-17 11:00:00,1.19,2.3356,2.835,1.19,1.7957
2017-08-17 12:00:00,1.19,2.3356,2.8213,1.19,1.8339
2017-08-17 13:00:00,1.19,2.3356,2.6512,1.19,1.8182
2017-08-17 14:00:00,1.19,2.3356,2.2318,1.19,1.6463
2017-08-17 15:00:00,1.19,2.3356,2.1474,1.19,1.5457
2017-08-17 16:00:00,1.19,2.3356,2.196,1.19,1.468
2017-08-17 17:00:00,1.19,2.3356,1.9785,1.19,1.4549
2017-08-17 18:00:00,1.19,2.3356,1.924,1.19,1.3728
2017-08-17 19:00:00,1.19,2.3356,1.9078,1.19,1.3935
2017-08-17 20:00:00,1.19,2.3356,2.0507,1.19,1.5004
2017-08-17 21:00:00,1.19,2.3356,2.0779,1.19,1.4226
2017-08-17 22:00:00,1.19,2.3356,2.2444,1.19,1.7271
2017-08-17 23:00:00,1.19,2.3356,2.268,1.19,1.7335
2017-08-18 00:00:00,1.19,2.3356,1.9419,1.19,1.4096
2017-08-18 01:00:00,1.19,2.3356,2.0122,1.19,1.617
2017-08-18 02:00:00,1.19,2.3356,2.0943,1.19,1.4309
2017-08-18 03:00:00,1.19,2.3356,1.9334,1.19,1.5957
2017-08-18 04:00:00,1.19,2.3356,1.6394,1.19,1.2866
2017-08-18 05:00:00,1.19,2.3356,1.6755,1.19,1.3301
2017-08-18 06:00:00,5.27,2.3356,2.3009,1.19,1.5972
2017-08-18 07:00:00,2.47,2.3356,1.9992,5.27,4.5793
2017-08-18 08:00:00,1.82,2.3356,1.8578,2.47,1.9877
2017-08-18 09:00:00,1.66,2.3356,2.1979,1.82,1.9685
2017-08-18 10:00:00,1.61,2.3356,2.5497,1.66,1.787
2017-08-18 11:00:00,1.67,2.3356,1.7973,1.61,1.8734
2017-08-18 12:00:00,1.72,2.3356,1.7743,1.67,1.7708
2017-08-18 13:00:00,2.12,2.3356,1.8072,1.72,1.8468
2017-08-18 14:00:00,3.69,2.3356,1.7437,2.12,1.9546
2017-08-18 15:00:00,5.17,2.3356,1.6991,3.69,3.2384
2017-08-18 16:00:00,4.86,2.3356,2.0931,5.17,4.4215
2017-08-18 17:00:00,4.7478,2.3356,2.0314,4.86,4.4355
2017-08-18 18:00:00,4.5246,2.3356,2.0337,4.7478,4.3404
2017-08-18 19:00:00,4.3014,2.3356,2.1345,4.5246,4.3017
2017-08-18 20:00:00,4.0782,2.3356,2.004,4.3014,3.4386
2017-08-18 21:00:00,3.855,2.3356,2.0084,4.0782,2.9528
2017-08-18 22:00:00,3.6318,2.3356,2.5966,3.855,3.5896
2017-08-18 23:00:00,3.4086,2.3356,2.181,3.6318,3.3408
2017-08-19 00:00:00,3.1854,2.3356,2.1998,3.4086,3.1842
2017-08-19 01:00:00,2.9622,2.3356,2.4283,3.1854,2.8624
2017-08-19 02:00:00,2.85,2.3356,3.4292,2.9622,2.7819
2017-08-19 03:00:00,3.58,2.3356,3.039,2.85,2.6812
2017-08-19 04:00:00,2.92,2.3356,3.0033,3.58,3.5455
2017-08-19 05:00:00,2.25,2.3356,2.9289,2.92,2.831
2017-08-19 06:00:00,2.52,2.3356,2.7424,2.25,2.3774
2017-08-19 07:00:00,2.78,2.3356,2.3824,2.52,2.636
2017-08-19 08:00:00,2.51,2.3356,2.4029,2.78,2.3988
2017-08-19 09:00:00,2.21,2.3356,2.8663,2.51,2.4031
2017-08-19 10:00:00,2.13,2.3356,2.9538,2.21,2.246
2017-08-19 11:00:00,2.13,2.3356,2.7527,2.13,2.1029
2017-08-19 12:00:00,2.02,2.3356,2.8623,2.13,2.2187
2017-08-19 13:00:00,1.88,2.3356,2.6865,2.02,2.0816
2017-08-19 14:00:00,4.33,2.3356,2.9249,1.88,2.2118
2017-08-19 15:00:00,3.48,2.3356,2.7982,4.33,4.0611
2017-08-19 16:00:00,3.49,2.3356,2.2602,3.48,3.1647
2017-08-19 17:00:00,4.51,2.3356,2.6334,3.49,3.1422
2017-08-19 18:00:00,5.53,2.3356,2.6101,4.51,4.231
2017-08-19 19:00:00,5.4427,2.3356,2.3863,5.53,4.4361
2017-08-19 20:00:00,5.2691,2.3356,3.0035,5.4427,4.5577
2017-08-19 21:00:00,5.0954,2.3356,2.5698,5.2691,4.3656
2017-08-19 22:00:00,4.9218,2.3356,2.6329,5.0954,4.5556
2017-08-19 23:00:00,4.7482,2.3356,2.5495,4.9218,4.2377
2017-08-20 00:00:00,4.5746,2.3356,2.551,4.7482,4.0992
2017-08-20 01:00:00,4.4009,2.3356,3.3933,4.5746,4.3145
2017-08-20 02:00:00,4.2273,2.3356,2.9334,4.4009,4.1457
2017-08-20 03:00:00,4.14,2.3356,2.6529,4.2273,3.3899
2017-08-20 04:00:00,4.62,2.3356,2.6324,4.14,3.5324
2017-08-20 05:00:00,4.3791,2.3356,2.4338,4.62,4.3382
2017-08-20 06:00:00,3.9,2.3356,2.6244,4.3791,4.0226
2017-08-20 07:00:00,3.4209,2.3356,2.9757,3.9,3.5369
2017-08-20 08:00:00,3.18,2.3356,3.1189,3.4209,3.0441
2017-08-20 09:00:00,3.66,2.3356,2.6765,3.18,2.8884
2017-08-20 10:00:00,2.16,2.3356,2.4477,3.66,3.5648
2017-08-20 11:00:00,2.3,2.3356,2.686,2.16,2.1812
2017-08-20 12:00:00,2.02,2.3356,2.2929,2.3,2.3345
2017-08-20 13:00:00,1.74,2.3356,2.2628,2.02,2.0641
2017-08-20 14:00:00,1.26,2.3356,2.5714,1.74,1.9442
2017-08-20 15:00:00,1.03,2.3356,2.3041,1.26,1.7173
2017-08-20 16:00:00,1.72,2.3356,2.8845,1.03,1.4084
2017-08-20 17:00:00,1.51,2.3356,2.7179,1.72,2.0825
2017-08-20 18:00:00,1.99,2.3356,3.0497,1.51,1.8557
2017-08-20 19:00:00,1.58,2.3356,2.7918,1.99,2.2963
2017-08-20 20:00:00,1.79,2.3356,2.9395,1.58,1.9488
2017-08-20 21:00:00,1.51,2.3356,3.06,1.79,2.0018
2017-08-20 22:00:00,2.17,2.3356,3.0765,1.51,1.7165
2017-08-20 23:00:00,1.87,2.3356,2.5716,2.17,2.2328
2017-08-21 00:00:00,1.33,2.3356,3.2398,1.87,2.3383
2017-08-21 01:00:00,1.2,2.3356,3.4605,1.33,1.9453
2017-08-21 02:00:00,1.24,2.3356,2.4145,1.2,1.365
2017-08-21 03:00:00,1.17,2.3356,2.5905,1.24,1.8372
2017-08-21 04:00:00,1.25,2.3356,2.1752,1.17,1.437
2017-08-21 05:00:00,0.84,2.3356,2.4798,1.25,1.8629
2017-08-21 06:00:00,1.17,2.3356,2.1214,0.84,1.3112
2017-08-21 07:00:00,1.01,2.3356,2.3992,1.17,1.4028
2017-08-21 08:00:00,1.0,2.3356,2.396,1.01,1.4271
2017-08-21 09:00:00,1.93,2.3356,2.0351,1.0,1.2677
2017-08-21 10:00:00,4.35,2.3356,2.2443,1.93,2.0611
2017-08-21 11:00:00,4.25,2.3356,2.3237,4.35,4.2372
2017-08-21 12:00:00,3.87,2.3356,2.1697,4.25,3.6617
2017-08-21 13:00:00,4.57,2.3356,2.3887,3.87,3.4212
2017-08-21 14:00:00,1.89,2.3356,2.3022,4.57,4.4722
2017-08-21 15:00:00,1.61,2.3356,2.9855,1.89,2.1265
2017-08-21 16:00:00,2.17,2.3356,2.3087,1.61,1.8854
2017-08-21 17:00:00,1.29,2.3356,3.593,2.17,2.4751
2017-08-21 18:00:00,1.12,2.3356,3.1378,1.29,1.5296
2017-08-21 19:00:00,1.27,2.3356,3.2393,1.12,1.3911
2017-08-21 20:00:00,1.35,2.3356,3.0844,1.27,1.4439
2017-08-21 21:00:00,1.4,2.3356,2.3847,1.35,1.5463
2017-08-21 22:00:00,0.84,2.3356,3.1905,1.4,1.6727
2017-08-21 23:00:00,1.78,2.3356,2.8299,0.84,1.3747
2017-08-22 00:00:00,1.15,2.3356,2.865,1.78,1.8045
2017-08-22 01:00:00,1.12,2.3356,2.1673,1.15,1.3288
2017-08-22 02:00:00,1.06,2.3356,1.5586,1.12,1.3294
2017-08-22 03:00:00,1.25,2.3356,2.146,1.06,1.4923
2017-08-22 04:00:00,1.4,2.3356,2.1005,1.25,1.4381
2017-08-22 05:00:00,0.94,2.3356,2.2734,1.4,1.7142
2017-08-22 06:00:00,1.43,2.3356,2.0879,0.94,1.3113
2017-08-22 07:00:00,1.11,2.3356,2.168,1.43,1.6986
2017-08-22 08:00:00,1.14,2.3356,2.3236,1.11,1.3105
2017-08-22 09:00:00,1.19,2.3356,2.2677,1.14,1.4652
2017-08-22 10:00:00,1.26,2.3356,2.3293,1.19,1.523
2017-08-22 11:00:00,1.59,2.3356,2.3396,1.26,1.6626
2017-08-22 12:00:00,1.01,2.3356,2.1781,1.59,1.7128
2017-08-22 13:00:00,2.91,2.3356,2.2525,1.01,1.2796
2017-08-22 14:00:00,2.54,2.3356,2.2064,2.91,2.8588
2017-08-22 15:00:00,1.42,2.3356,2.1301,2.54,2.5242
2017-08-22 16:00:00,1.25,2.3356,2.3315,1.42,1.5978
2017-08-22 17:00:00,1.51,2.3356,2.2809,1.25,1.6584
2017-08-22 18:00:00,1.02,2.3356,2.9627,1.51,1.8017
2017-08-22 19:00:00,1.68,2.3356,2.1612,1.02,1.2392
2017-08-22 20:00:00,1.54,2.3356,2.273,1.68,1.8068
2017-08-22 21:00:00,1.37,2.3356,2.1676,1.54,1.7637
2017-08-22 22:00:00,2.44,2.3356,2.2206,1.37,1.5986
2017-08-22 23:00:00,1.47,2.3356,2.196,2.44,2.3552
